name;norad_cat_id;epoch;tle_line1;tle_line2
CREW DRAGON 6 DEB [TRUN*;;2023-09-08T11:26:02+00:00;1 57799U 23027B   23251.47642099  .00045784  00000+0  69629-3 0  9997;2 57799  51.7807 275.9647 0005371  48.1461 311.9989 15.54063850   688
EUTELSAT 117 WEST B (W*);;2025-10-05T03:12:01+00:00;1 41589U 16038B   25278.13334792 -.00000011  00000+0  00000+0 0  9992;2 41589   0.0245  41.7886 0000118 207.9418  55.3414  1.00272870 34102
EUTELSAT 5 WEST B (EGN*);;2025-10-05T03:18:16+00:00;1 44624U 19067A   25278.13769168 -.00000041  00000+0  00000+0 0  9992;2 44624   0.0652   3.6178 0003232 193.1050 221.9331  1.00271906 21874
HULIANWAN GAOGUI-01 (H*);;2025-10-01T17:01:08+00:00;1 59069U 24040A   25274.70912281  .00000157  00000+0  00000+0 0  9990;2 59069   0.0567 299.6674 0000922 319.6220  40.3087  1.00271661  4738
HULIANWAN GAOGUI-02 (H*);;2025-10-03T21:13:44+00:00;1 60327U 24135A   25276.88454007 -.00000173  00000+0  00000+0 0  9991;2 60327   0.0337  94.3293 0001991 160.4269 229.6130  1.00271103  4935
HULIANWAN GAOGUI-03 (H*);;2025-10-01T01:20:09+00:00;1 61503U 24181A   25274.05566451 -.00000240  00000+0  00000+0 0  9998;2 61503   0.0143 131.2476 0001006 288.9553 252.7604  1.00274830  4225
HULIANWANG JISHU SHIYAN*;;2024-01-29T07:37:29+00:00;1 58691U 23212A   24029.31770823  .00000031  00000+0  14973-3 0  9997;2 58691  50.0020 308.9229 0007914  42.9651 317.1863 13.86996577  4216
HULIANWANG JISHU SHIYAN*;;2024-01-29T07:29:24+00:00;1 58692U 23212B   24029.31208911  .00000015  00000+0  13634-3 0  9997;2 58692  49.9988 308.8871 0004903  30.0711 330.0467 13.86968768  4214
HULIANWANG JISHU SHIYAN*;;2024-01-29T07:33:11+00:00;1 58693U 23212C   24029.31472148  .00000020  00000+0  14007-3 0  9994;2 58693  50.0002 308.9038 0007077  26.2564 333.8691 13.86994896  4210
INMARSAT 4-F2 (SOUTHPA*);;2025-10-05T03:30:23+00:00;1 28899U 05044A   25278.14610926 -.00000255  00000+0  00000+0 0  9993;2 28899   4.7609  43.6211 0003053 172.4617 354.1155  1.00271716 72963
LUDI TANCE 1-01A (L-SA*);;2025-10-05T04:32:58+00:00;1 51284U 22007A   25278.18956766  .00000173  00000+0  24566-4 0  9990;2 51284  97.8121 284.2827 0001617  92.2374 267.9028 14.88415642200543
LUDI TANCE 1-01B (L-SA*);;2025-10-05T03:44:33+00:00;1 51822U 22018A   25278.15594134  .00001709  00000+0  19025-3 0  9993;2 51822  97.8108 284.2386 0001603  89.9587 270.1813 14.88414709195779
NUSANTARA LIMA (NUSANT*);;2025-10-01T19:36:03+00:00;1 65588U 25205A   25274.81671068 -.00000365  00000+0  00000+0 0  9996;2 65588   0.3074 269.7257 4410081 108.1681  38.5175  1.00170277   171
NUSAT-24 (KALPANA CHAW*);;2023-12-28T09:53:52+00:00;1 52178U 22033X   23362.41241005  .00019957  00000+0  63127-3 0  9998;2 52178  97.3014  78.9112 0007362 187.2227 172.8911 15.32787638 97021
NUSAT-34 (AMELIA EARHA*);;2023-12-28T09:57:06+00:00;1 55045U 23001AN  23362.41465528  .00011734  00000+0  49330-3 0  9993;2 55045  97.4201  59.3866 0013145  46.6819 313.5511 15.23491123 54604
NUSAT-44 (MARIA MITCHE*);;2024-04-03T14:01:38+00:00;1 59122U 24043AA  24094.58447398  .00008474  00000+0  42912-3 0  9992;2 59122  97.4658 219.4233 0014203 186.6243 173.4805 15.17153384  4497
NUSAT-48 (HENRIETTA LE*);;2025-10-05T04:58:16+00:00;1 60498U 24149AG  25278.20713307  .00016184  00000+0  54758-3 0  9995;2 60498  97.3989 355.7817 0006105 105.7243 254.4671 15.30673550 63142
NUSAT-49 (KLARA DAN VO*);;2025-10-05T03:45:01+00:00;1 60500U 24149AJ  25278.15626609  .00016352  00000+0  56082-3 0  9990;2 60500  97.4014 355.8511 0005713 102.7480 257.4399 15.30232010 63133
POLYTECH-UNIVERSE 3 (R*);;2025-10-05T04:09:35+00:00;1 57191U 23091AB  25278.17333051  .00008903  00000+0  46871-3 0  9993;2 57191  97.5453 332.6069 0015267 297.3331  62.6347 15.15761223125274
ROBUSTA-3A (MEDITERRAN*);;2025-10-04T14:40:25+00:00;1 60243U 24128J   25277.61140696  .00014747  00000+0  96808-3 0  9994;2 60243  61.9893  28.8117 0056374  76.2667 284.4692 15.06576575 67846
SAMSAT-IONOSPHERE (RS7*);;2025-10-05T05:08:14+00:00;1 61784U 24199BB  25278.21405186  .00028534  00000+0  75955-3 0  9997;2 61784  97.3336 146.3227 0014983 127.1833 233.0782 15.38051083 98134
TIANJIN UNIVERSITY 1 (*);;2024-07-29T22:43:27+00:00;1 49812U 21117A   24211.94685183  .01486118  23929-5  67695-3 0  9995;2 49812  97.3115 311.7969 0010221 258.2196 101.7948 16.21891310149069
CALSPHERE 1;900;2025-10-05T10:37:28.191360;;
CALSPHERE 2;902;2025-10-05T11:04:00.444864;;
LCS 1;1361;2025-10-05T12:08:01.406976;;
TEMPSAT 1;1512;2025-10-05T06:44:31.462944;;
CALSPHERE 4A;1520;2025-10-05T13:13:59.657952;;
OPS 5712 (P/L 160);2826;2025-10-05T11:22:39.247968;;
LES-5;2866;2025-10-05T09:34:37.260768;;
SURCAL 159;2872;2025-10-05T03:43:44.883840;;
OPS 5712 (P/L 153);2874;2025-10-05T11:26:02.304384;;
SURCAL 150B;2909;2025-10-05T11:00:45.006336;;
OPS 3811 (DSP 2);5204;2025-10-05T07:38:59.060832;;
RIGIDSPHERE 2 (LCS 4);5398;2025-10-05T10:46:50.886048;;
OSCAR 7 (AO-7);7530;2025-10-05T00:26:47.433120;;
STARLETTE;7646;2025-10-05T11:25:06.465792;;
LAGEOS 1;8820;2025-10-05T08:39:11.622816;;
OPS 8701 (DSP 10);13086;2025-10-05T10:50:48.168960;;
PHASE 3B (AO-10);14129;2025-10-05T09:39:48.445056;;
UOSAT 2 (UO-11);14781;2025-10-05T10:15:42.238080;;
AJISAI (EGS);16908;2025-10-05T10:06:57.663072;;
TDRS 3;19548;2025-10-05T09:12:38.998080;;
COSMOS 1989 (ETALON 1);19751;2025-10-03T13:42:51.583968;;
COSMOS 2024 (ETALON 2);20026;2025-10-05T09:51:26.564832;;
FLTSATCOM 8 (USA 46);20253;2025-10-04T14:13:33.581856;;
LUSAT (LO-19);20442;2025-10-05T00:41:22.448256;;
HST;20580;2025-10-05T07:35:15.931968;;
SKYNET 4C;20776;2025-10-04T20:38:11.701824;;
USA 65 (DSP 15);20929;2025-10-05T07:49:05.592288;;
TDRS 5;21639;2025-10-05T09:30:38.814912;;
USA 75 (DSP 16);21805;2025-10-05T06:01:47.078976;;
